,«· ﬁ—Ì— «·ﬂ·Ì ·—”„ «·Ê«—œ ·’‰œÊﬁ «·‰ﬁœ «·œÊ·Ì,,,,,,
"April 17, 2019",,,,,,,
TAR_HSC_NB1,,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
87049000,1464100,111256671.55,,41097418.18,,51450937.05
04071100,5299076.,424667244.97,,56875944.63,,12779791.09
13012022,2993041,16423572.46,,5562734.07,,1101.6
70189000,167184,1079800.46,,250161.97,,796651
08071110,6316001.,9559785.23,,2145726.49,,214.31
56075000,685460,6215489.41,,1112650.73,,1084435
85235990,504,124995.89,,31530,,46123.08
52041100,89853.3,1301163.55,,223786.63,,312471.54
48045100,791065.2,2916236.53,,452573.23,,616247.57
10031000,658875,1277731.89,,239466.71,,449954.06
80011000,5932,76152.89,,10316,,17228.18
28402000,43608,406883.26,,87074.3,,27964.21
20091200,5022148.,33196210.22,,5416140.01,,17653263.49
48109910,198738,1216021.64,,267695.49,,270399.92
54024700,185761,4478520.38,,379625,,914398.42
63023900,45198.35,440662.64,,74301.13,,483111.72
80020000,211,2899.95,,2284,,1739.96
,,,Page 14,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
45011000,1691,49283.45,,4069.36,,10987.19
02044200,160266,1649245.28,,358932,,34669.41
04079000,224312.3,1427944.67,,636605.7,,527494.62
